Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,148.40,6.32,12.91
20,145.10,6.03,13.01
30,112.30,1.87,9.13
40,182.60,6.45,14.07
50,185.30,7.50,15.09
60,149.80,4.38,12.05
70,160.00,6.66,13.81
80,295.00,17.73,25.99
90,174.80,6.56,14.25
100,113.50,4.82,10.08
110,190.70,9.26,16.42
120,141.00,4.05,11.28
130,123.60,3.93,10.59
140,210.90,11.55,18.73
150,156.50,5.93,13.23
160,150.70,7.03,13.05
170,130.10,5.37,11.49
180,204.90,8.78,17.13
190,208.20,10.53,18.33
200,177.80,5.16,14.31
210,130.70,3.62,10.42
10,167.00,7.70,14.89
20,125.80,2.67,9.47
30,127.40,3.83,10.68
40,129.90,3.93,10.68
50,190.60,8.22,15.59
60,159.50,7.45,13.60
70,108.30,3.00,9.68
80,236.30,10.55,19.22
90,155.10,5.93,13.25
100,140.10,4.05,11.26
