Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,131.30,-0.69,8.23
20,131.90,-0.80,8.05
30,125.80,-0.79,8.21
40,142.80,0.52,8.67
50,143.50,-0.30,8.43
60,145.00,0.52,8.75
70,158.20,1.44,9.36
80,136.60,-0.12,7.73
90,131.20,-0.29,8.39
100,135.70,-0.80,8.10
110,141.30,-0.80,8.25
120,131.90,0.02,8.59
130,140.00,0.71,8.47
140,140.50,-0.29,8.40
150,141.30,-0.79,8.54
160,134.80,0.01,8.40
170,165.00,1.62,9.13
180,125.70,-0.11,7.76
190,145.60,-0.81,8.22
200,145.90,0.51,8.61
210,138.50,0.52,8.63
220,133.00,-0.79,8.32
230,134.00,-0.79,8.35
240,153.50,0.00,8.53
250,143.90,-0.80,8.44
260,138.30,-0.29,8.36
270,158.40,0.62,9.05
280,124.20,-0.92,7.49
290,152.40,-0.81,8.42
300,155.40,0.50,8.56
310,132.50,-0.80,8.17
320,131.50,0.02,8.54
330,150.10,1.01,8.65
340,151.90,-0.81,8.24
350,133.80,0.53,8.67
360,154.70,0.00,8.52
370,135.00,0.51,8.41
380,119.00,0.54,8.61
390,141.80,1.82,8.80
400,128.00,0.02,8.42
410,132.60,-0.78,8.43
420,144.30,0.84,9.13
430,134.40,0.52,8.60
10,134.30,0.93,8.81
20,129.70,0.53,8.65
30,122.10,-0.79,8.09
40,127.70,-0.79,8.23
50,153.10,1.94,9.32
60,125.20,-0.10,7.91
70,120.20,-0.79,8.12
80,145.20,3.28,10.00
90,115.80,0.41,8.05
100,131.90,0.02,8.46
110,127.70,1.02,8.41
120,154.80,1.89,10.41
130,131.00,1.33,8.65
140,185.40,2.81,11.44
150,94.00,-0.89,7.50
160,126.50,1.04,8.73
170,127.00,0.83,8.69
180,143.90,0.03,8.83
190,140.10,-0.80,8.21
200,127.70,1.35,9.03
210,161.80,2.88,10.41
220,145.60,0.52,8.76
230,177.20,3.59,10.84
240,127.50,1.04,8.88
250,150.20,1.64,9.16
260,127.20,-0.29,8.26
270,131.60,-0.79,8.25
280,132.20,0.55,9.02
290,139.50,0.01,8.51
300,138.10,0.51,8.52
310,119.30,0.03,8.42
320,128.30,0.23,8.55
330,129.70,0.54,8.80
340,140.10,0.01,8.42
350,157.90,2.90,10.55
360,122.50,0.84,8.75
370,113.90,-0.77,8.44
380,117.10,-0.79,8.13
390,147.20,0.97,9.71
400,106.60,0.43,8.13
410,137.80,1.84,8.97
420,110.60,0.03,8.29
430,114.90,-0.78,8.21
440,128.20,2.34,8.91
450,114.50,-0.77,8.31
460,159.60,2.70,10.60
470,130.50,0.52,8.49
480,121.60,-0.78,8.22
490,123.30,0.53,8.56
500,115.40,-0.77,8.41
510,117.40,0.85,8.85
520,120.70,0.04,8.62
530,130.70,0.24,8.83
540,110.40,1.87,9.05
550,117.50,1.35,8.86
560,125.60,0.84,8.80
570,104.20,0.04,8.47
580,121.90,-0.27,8.49
590,135.30,1.46,9.38
600,118.60,-0.10,7.88
610,110.50,-0.27,8.29
620,130.60,0.84,8.90
630,118.50,0.85,8.84
640,122.30,1.53,8.61
650,127.80,1.84,8.79
660,124.40,1.85,8.88
670,126.30,0.53,8.65
680,149.30,3.21,10.62
690,133.80,3.47,9.46
700,121.90,2.16,9.11
710,116.00,-0.79,8.03
720,111.80,-0.27,8.35
730,114.80,1.36,9.04
740,123.10,2.47,9.35
750,110.60,1.36,8.86
760,141.80,3.72,10.79
770,124.40,0.55,8.92
780,142.20,1.90,10.40
790,124.40,1.98,9.64
800,103.20,0.41,7.71
810,112.90,1.04,8.61
820,117.80,2.68,9.41
830,125.40,1.47,9.35
840,112.20,0.72,8.17
850,108.30,0.86,8.86
860,131.90,1.48,9.65
870,101.80,0.43,8.04
880,120.00,1.36,9.05
890,118.50,1.85,8.93
900,111.20,1.05,8.74
910,104.70,0.05,8.52
920,113.70,1.35,8.71
930,101.90,0.04,8.33
940,149.70,3.41,10.67
950,123.90,1.60,9.98
960,121.80,3.31,10.01
970,103.50,0.73,8.22
980,112.80,1.85,8.78
990,135.80,1.11,10.31
1000,106.60,0.55,8.66
1010,117.80,3.69,9.51
1020,140.40,2.41,10.48
1030,105.30,0.04,8.47
1040,110.00,1.05,8.70
1050,107.00,0.55,8.59
1060,105.20,0.05,8.51
1070,133.10,1.78,9.83
1080,110.20,1.73,8.27
1090,119.10,1.66,9.09
1100,123.50,2.30,9.92
1110,101.50,1.74,8.22
1120,127.20,2.60,10.02
1130,96.10,-0.39,7.64
1140,132.70,2.35,9.12
1150,115.10,1.86,8.98
1160,120.20,1.35,8.80
1170,132.00,3.24,10.88
1180,124.80,4.11,10.09
1190,144.60,3.66,11.60
1200,113.90,2.17,9.11
1210,118.40,2.30,9.80
1220,127.50,2.29,9.90
1230,110.70,1.37,9.09
1240,145.30,3.13,11.08
1250,110.90,1.36,8.97
1260,113.40,0.86,8.83
1270,113.90,2.36,9.00
1280,106.40,1.04,8.42
1290,99.20,1.37,8.93
1300,150.10,4.80,12.48
1310,112.40,0.86,8.84
1320,106.20,1.36,8.88
1330,114.40,0.55,8.69
1340,127.70,3.10,10.06
1350,113.10,2.04,8.56
1360,144.20,4.03,10.94
1370,166.60,5.38,12.46
1380,104.50,1.73,8.20
1390,116.60,3.48,9.45
1400,119.70,2.67,9.31
1410,104.90,0.86,8.75
1420,104.50,0.06,8.76
1430,113.90,2.16,8.94
1440,137.70,1.92,10.57
1450,120.00,3.67,9.37
1460,101.00,1.37,8.97
1470,129.30,2.60,10.04
1480,87.80,-0.89,7.51
1490,131.40,4.55,11.03
1500,201.20,8.11,15.63
1510,124.60,2.29,9.82
1520,128.50,2.30,10.03
1530,121.60,3.11,10.18
1540,112.90,2.68,9.23
1550,106.40,-0.76,8.50
1560,117.70,2.16,9.03
1570,145.90,2.55,11.36
1580,124.30,2.16,9.21
1590,126.70,3.03,8.64
1600,191.40,6.21,13.48
1610,100.10,1.54,8.33
1620,109.90,0.55,8.68
1630,109.20,1.37,9.13
1640,120.10,1.84,8.76
1650,113.70,2.67,9.10
1660,108.50,1.86,8.90
1670,118.40,2.67,9.33
1680,125.80,0.98,9.52
1690,116.10,1.37,9.14
1700,113.10,2.03,8.41
1710,104.60,1.68,9.23
1720,121.60,0.98,9.42
1730,105.20,2.55,8.56
1740,107.30,0.54,8.51
1750,103.60,0.05,8.57
1760,133.80,1.91,10.33
1770,128.80,2.15,9.13
1780,105.10,0.56,8.68
1790,141.00,4.59,10.04
1800,104.70,0.74,8.34
1810,109.20,0.75,8.77
1820,163.10,5.51,12.99
1830,113.80,2.17,9.18
1840,102.50,0.55,8.61
1850,111.30,2.37,9.10
1860,110.20,2.17,9.13
1870,124.90,2.61,10.06
1880,111.60,2.05,8.58
1890,113.30,1.36,8.85
1900,124.80,-0.29,8.21
1910,111.40,1.35,8.68
1920,131.90,1.33,8.76
1930,110.40,1.35,8.77
1940,126.00,2.98,9.61
1950,117.90,0.85,8.80
1960,111.40,1.67,9.04
1970,122.20,0.17,9.30
1980,126.60,4.03,10.53
1990,120.50,1.67,9.17
2000,106.50,2.49,9.32
2010,117.60,4.17,9.15
2020,116.10,2.36,8.96
2030,148.10,3.40,10.54
2040,123.10,3.98,9.62
2050,162.10,5.37,12.16
2060,99.60,2.56,8.58
2070,134.00,2.60,10.08
2080,101.80,2.54,8.36
2090,129.70,2.60,10.14
2100,110.70,4.36,8.86
2110,124.70,3.17,9.30
2120,112.90,2.17,9.06
2130,128.70,3.99,9.84
2140,170.80,5.74,11.65
2150,123.50,2.66,9.12
2160,166.00,6.70,12.75
2170,95.30,-0.07,7.93
2180,130.20,3.47,9.44
2190,122.30,2.17,9.26
2200,125.30,2.34,8.88
2210,151.00,3.65,11.57
2220,112.30,0.41,7.96
2230,161.90,2.89,10.54
2240,113.40,0.03,8.32
2250,113.20,1.36,9.01
2260,123.60,1.35,8.92
2270,127.70,3.17,9.41
2280,120.00,3.16,9.15
2290,109.30,2.68,9.34
2300,119.60,2.61,10.04
2310,151.20,4.03,11.15
2320,127.20,3.10,10.10
2330,113.70,1.85,8.76
2340,113.20,0.55,8.72
2350,175.10,4.15,12.01
2360,97.60,2.55,8.50
2370,142.40,3.22,10.66
2380,140.00,2.77,9.74
2390,104.20,2.04,8.38
2400,116.90,1.04,8.58
2410,107.00,1.85,8.70
2420,132.60,3.60,10.10
2430,112.30,3.54,8.45
2440,161.60,4.28,12.37
2450,115.80,2.69,9.49
2460,114.20,2.17,9.21
2470,156.60,5.03,11.15
2480,112.70,0.04,8.53
2490,119.10,1.80,9.76
2500,109.80,2.55,8.56
2510,130.60,4.10,10.14
2520,112.60,3.55,8.71
2530,118.70,0.85,8.77
2540,145.30,4.03,10.91
2550,145.30,3.73,10.97
2560,124.90,3.11,10.15
2570,106.20,-0.09,7.79
2580,127.30,2.15,9.10
2590,171.90,6.50,12.99
2600,147.10,3.11,10.71
2610,134.90,3.09,10.05
2620,117.40,3.17,9.13
2630,139.60,4.63,10.90
2640,135.30,2.73,10.78
2650,182.10,5.95,12.17
2660,112.00,1.22,8.04
2670,123.60,3.98,9.46
2680,133.10,4.60,10.15
2690,137.70,3.73,10.88
2700,110.20,2.04,8.41
2710,118.80,1.35,8.93
2720,116.50,2.68,9.40
2730,157.70,4.44,11.50
2740,108.40,2.17,9.09
2750,115.00,2.66,9.02
2760,138.10,2.78,9.78
2770,113.90,3.35,8.78
2780,137.50,3.41,10.40
2790,148.80,3.67,11.79
2800,112.50,2.68,9.26
2810,120.60,1.86,9.12
2820,179.60,5.00,13.16
2830,119.60,2.68,9.37
2840,157.80,4.02,10.98
2850,169.80,8.68,12.56
2860,119.40,3.11,10.11
2870,120.30,2.67,9.19
2880,115.60,2.67,9.28
2890,180.50,5.58,12.74
2900,134.70,2.79,9.94
2910,145.60,4.76,11.55
2920,111.80,2.23,8.39
2930,130.50,1.47,9.43
2940,114.60,2.85,8.66
2950,109.40,3.17,9.11
2960,135.90,2.73,10.82
2970,126.40,1.66,9.15
2980,157.10,4.16,11.87
2990,155.50,6.84,11.39
3000,112.40,0.41,7.97
3010,143.80,4.53,10.97
3020,117.40,3.68,9.45
3030,146.20,3.53,11.03
3040,124.70,1.98,9.48
3050,120.10,1.66,9.00
3060,108.30,2.99,9.35
3070,155.30,5.83,11.26
3080,102.40,1.73,8.16
3090,147.90,2.41,10.63
3100,132.60,2.29,9.88
3110,150.40,5.35,11.39
3120,104.10,1.23,8.11
3130,131.40,3.23,10.73
3140,112.50,1.36,8.93
3150,163.00,4.02,11.03
3160,116.70,0.04,8.64
3170,158.30,6.84,11.47
3180,110.00,1.86,8.82
3190,152.50,3.85,11.61
3200,127.10,3.10,10.03
3210,132.40,4.24,10.95
3220,157.10,6.89,12.46
3230,113.90,2.35,8.84
3240,99.60,1.68,9.00
3250,139.10,3.10,10.17
3260,121.40,5.30,9.82
3270,119.10,2.98,9.37
3280,115.70,1.23,8.33
3290,148.30,6.86,11.54
3300,110.30,2.17,9.11
3310,139.40,5.04,11.10
3320,131.20,4.10,10.19
3330,143.10,5.35,11.38
3340,91.70,0.73,7.97
3350,111.30,1.86,8.95
3360,134.50,3.54,10.90
3370,141.10,4.77,11.66
3380,154.60,6.11,12.72
3390,211.90,11.30,15.61
3400,109.50,1.36,8.89
3410,145.20,4.03,11.03
3420,112.00,1.36,8.98
3430,154.10,7.27,11.86
3440,117.10,0.98,9.38
3450,93.90,2.05,8.38
3460,127.60,4.11,10.31
3470,154.80,6.01,12.86
3480,115.30,3.98,9.35
3490,169.00,6.53,13.51
3500,100.80,0.73,8.12
3510,103.90,0.86,8.74
