Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,313.50,3.57,27.53
20,273.90,1.83,22.51
30,277.40,2.58,22.96
40,225.00,1.11,19.23
50,156.80,-1.10,12.47
60,263.20,2.34,22.24
70,351.50,4.29,30.74
80,341.90,4.05,29.90
90,243.20,1.10,19.21
100,266.60,1.58,20.23
110,223.90,0.86,19.00
120,366.40,4.02,28.22
130,232.10,1.36,19.16
140,286.30,2.83,24.10
150,296.40,2.82,25.36
160,215.40,0.87,18.10
170,199.30,0.38,16.54
180,194.70,0.38,16.85
190,214.60,0.61,17.22
200,287.30,2.08,24.14
210,197.00,0.38,17.23
220,350.40,4.29,29.52
230,264.60,2.10,23.55
240,249.00,1.60,21.31
250,230.30,1.36,20.52
260,236.70,1.60,19.43
270,295.00,3.32,25.25
280,218.50,2.12,19.63
290,259.00,2.35,22.74
300,226.50,1.36,18.61
310,255.80,2.10,21.83
320,177.70,-0.62,13.24
330,169.40,-0.61,12.93
340,322.30,4.31,28.72
350,268.20,2.59,23.32
360,229.90,0.86,19.59
370,302.90,3.32,26.83
380,226.40,0.10,16.77
390,345.10,4.80,29.97
400,252.80,1.09,19.83
410,263.50,2.09,22.21
420,250.50,1.84,19.67
430,229.00,1.36,18.79
440,241.30,2.11,21.85
450,269.00,2.09,22.74
460,220.00,0.86,18.33
470,246.10,2.11,21.85
480,261.60,1.84,21.66
490,338.30,3.80,28.94
500,263.10,1.84,21.93
510,332.80,4.56,29.49
520,333.10,4.31,29.77
530,309.30,3.32,26.96
540,262.40,2.60,23.42
550,304.70,3.32,26.88
560,227.40,1.36,19.09
570,309.00,3.32,27.08
580,252.80,1.60,21.43
590,273.80,1.84,23.57
600,314.10,3.82,27.81
610,189.70,0.13,15.97
620,269.80,2.09,22.97
630,226.40,1.37,19.89
640,287.80,2.83,25.38
650,291.20,3.32,24.57
660,277.70,3.34,24.34
670,259.10,2.60,22.63
680,290.10,3.83,25.95
690,280.80,2.83,24.46
700,224.60,1.11,18.96
710,316.00,3.06,26.15
720,250.90,2.35,22.44
730,300.40,3.58,27.34
740,350.40,5.05,31.77
750,266.00,3.35,24.34
760,257.70,2.35,23.24
770,205.40,0.88,17.65
780,253.60,1.34,19.63
790,173.30,-0.61,14.43
800,375.80,5.53,33.62
810,210.90,0.87,18.25
820,321.70,4.31,28.54
830,255.40,1.85,22.93
840,296.30,2.32,24.84
850,296.30,3.32,25.56
860,238.20,0.85,19.51
870,236.70,1.61,20.39
880,305.30,3.07,26.34
890,361.00,5.30,33.10
900,209.50,0.62,18.21
910,224.10,1.36,19.10
920,307.20,3.32,26.18
930,245.60,2.11,21.79
940,275.70,2.08,22.18
950,293.50,3.33,26.12
960,230.90,1.36,20.39
970,201.20,0.37,16.24
980,208.50,0.62,16.68
990,307.90,3.32,26.37
1000,311.50,4.07,27.29
1010,303.50,2.56,24.74
1020,346.70,4.30,30.21
1030,324.70,4.31,29.44
1040,195.10,0.38,16.53
1050,324.80,4.06,28.91
1060,232.50,1.36,20.13
1070,263.10,1.84,22.84
1080,207.80,0.87,17.23
1090,262.20,1.84,22.45
1100,294.80,2.82,24.21
1110,328.30,4.56,29.52
1120,278.30,2.83,24.05
1130,333.70,4.31,29.71
1140,295.70,3.07,25.41
1150,270.00,2.59,22.79
1160,285.60,3.08,25.60
1170,331.80,3.81,29.14
1180,278.50,2.33,23.59
1190,266.30,2.09,23.01
1200,301.80,3.07,26.46
1210,257.20,1.85,22.38
1220,359.10,5.29,32.07
1230,261.10,2.59,22.32
1240,238.70,1.86,21.84
1250,234.00,1.87,21.43
1260,277.00,2.08,22.98
1270,283.20,2.58,23.99
1280,245.70,1.85,19.95
1290,286.40,2.83,25.37
1300,266.00,1.84,22.44
1310,328.00,3.80,27.35
1320,301.20,3.58,26.85
1330,248.30,1.09,19.57
1340,273.90,2.83,22.90
1350,273.20,2.58,22.84
1360,298.90,2.56,24.27
1370,197.70,0.38,16.07
1380,363.70,4.28,30.85
1390,271.40,2.09,23.36
1400,357.20,3.78,29.51
1410,290.40,3.33,26.43
1420,350.00,4.30,30.89
1430,246.90,1.35,21.57
1440,239.70,1.61,20.59
1450,311.50,3.57,27.54
1460,269.60,2.08,21.78
1470,191.80,0.38,15.61
1480,204.80,0.12,16.32
1490,236.80,1.35,19.37
1500,260.00,1.85,22.92
1510,282.60,2.83,24.17
1520,334.00,4.06,29.61
1530,278.80,1.82,22.21
1540,318.10,2.30,24.19
1550,183.00,-0.11,15.18
1560,302.90,3.58,27.39
1570,197.70,-0.12,16.34
1580,302.50,3.07,25.20
1590,299.70,3.32,25.50
1600,230.70,0.86,19.20
1610,317.10,3.31,27.67
1620,235.70,1.35,19.45
1630,298.80,3.58,26.35
1640,322.20,4.06,27.95
1650,246.10,1.60,20.44
1660,245.10,1.85,21.19
1670,289.90,3.58,25.44
1680,280.10,2.33,22.94
1690,270.20,2.34,23.09
1700,344.70,4.30,30.22
1710,365.90,4.78,31.49
1720,279.40,2.83,24.27
1730,314.20,3.32,27.69
1740,291.90,3.33,25.69
1750,334.60,4.31,29.49
1760,209.20,0.87,17.68
1770,354.70,4.54,30.69
1780,304.90,3.82,26.12
1790,311.00,3.07,26.88
1800,342.90,4.30,30.52
1810,292.50,3.08,25.56
1820,345.50,4.30,30.27
1830,269.90,2.84,23.61
1840,272.80,2.09,23.48
1850,334.40,4.31,30.04
1860,186.20,0.13,14.86
1870,356.40,5.04,31.58
1880,280.70,2.58,23.62
1890,330.00,3.80,26.89
1900,363.20,5.04,32.45
1910,271.30,1.58,20.92
1920,271.20,2.59,23.78
1930,246.00,1.85,21.67
1940,250.90,1.59,20.20
1950,301.10,3.83,27.07
1960,344.00,4.30,30.27
1970,263.60,1.84,22.34
1980,236.90,1.36,20.43
1990,289.80,2.57,22.78
2000,274.90,2.34,23.54
2010,355.20,5.29,31.51
2020,283.90,2.58,24.38
2030,296.00,3.32,25.58
2040,356.70,4.79,31.26
2050,260.80,2.09,21.80
2060,288.50,2.58,24.33
2070,317.20,3.82,28.08
2080,265.80,2.34,22.24
2090,253.80,1.34,20.13
2100,273.40,1.83,21.54
2110,303.60,3.31,25.14
2120,294.20,2.32,24.22
2130,350.70,4.29,29.68
2140,347.00,4.80,29.95
2150,265.60,1.59,21.96
