Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
50,277.98,19.41,25.07
100,285.22,20.26,25.72
150,287.10,20.71,26.00
200,284.62,20.12,25.82
250,297.48,21.47,26.62
300,295.72,20.54,26.42
350,293.36,20.69,26.21
400,297.80,20.60,26.48
450,298.20,20.67,26.57
500,287.98,19.51,25.73
550,296.34,21.09,26.55
600,290.48,20.90,26.29
650,273.18,18.53,24.47
700,314.92,22.60,28.08
750,289.12,20.03,25.72
800,285.36,19.53,25.25
850,292.76,20.70,26.27
900,306.18,21.18,27.05
950,310.98,21.83,27.38
1000,295.94,20.59,26.16
1050,321.30,22.87,28.33
1100,298.78,20.63,26.31
1150,298.60,20.63,26.22
1200,282.06,19.31,24.74
1250,295.60,20.67,26.16
1300,299.06,20.47,26.38
1350,295.12,20.73,26.13
1400,301.58,21.02,26.52
1450,305.10,21.24,26.94
1500,300.00,20.82,26.41
1550,305.58,21.03,26.90
1600,286.96,20.14,25.51
1650,285.36,20.11,25.56
1700,297.10,21.12,26.52
1750,297.80,20.34,26.46
1800,295.66,20.54,26.33
1850,284.74,19.74,25.39
1900,299.46,21.11,26.78
1950,293.72,20.66,26.47
2000,269.48,19.26,24.27
2050,299.22,20.87,26.77
2100,295.64,21.07,26.60
2150,290.82,20.10,26.24
2200,294.80,21.38,26.71
2250,286.66,19.98,25.88
2300,295.54,21.07,26.66
2350,306.22,22.19,27.69
2400,296.16,21.06,26.89
2450,288.18,20.15,26.17
2500,290.18,20.89,26.42
2550,296.18,21.46,26.84
2600,297.86,21.22,26.96
2650,295.68,20.71,26.71
2700,278.80,19.34,25.31
2750,298.56,21.36,26.96
2800,294.94,21.33,26.68
2850,294.80,20.89,26.64
2900,294.00,21.21,26.66
2950,291.44,20.56,26.36
3000,298.26,21.48,26.96
3050,300.10,21.21,27.16
3100,292.00,20.59,26.61
3150,302.96,21.64,27.37
3200,298.32,21.12,26.92
3250,305.12,21.50,27.32
3300,294.78,20.54,26.44
3350,295.54,20.78,26.48
3400,309.48,22.13,27.75
3450,317.96,22.75,28.24
3500,310.60,22.29,27.76
3550,304.54,21.45,27.19
3600,314.68,22.32,28.05
3650,298.92,21.52,26.81
3700,301.08,21.70,27.01
3750,309.46,21.93,27.66
3800,292.94,20.40,26.30
3850,303.52,21.73,27.18
3900,301.00,21.07,27.14
3950,301.34,21.47,27.08
4000,305.66,22.19,27.53
4050,308.58,21.85,27.59
4100,302.00,21.61,27.09
4150,305.16,22.27,27.57
4200,306.66,21.11,27.28
4250,304.70,21.46,27.31
4300,300.90,21.47,27.09
4350,310.00,21.69,27.73
4400,306.68,21.36,27.34
4450,307.82,22.15,27.65
4500,319.58,23.30,28.52
4550,317.26,22.87,28.25
4600,313.42,22.36,28.07
4650,318.72,22.80,28.39
4700,301.10,21.71,27.17
4750,303.42,21.71,27.25
4800,304.20,21.40,27.40
4850,308.48,22.09,27.64
4900,294.40,20.95,26.59
4950,296.92,20.91,26.64
5000,304.30,21.22,27.33
5050,314.48,22.99,28.16
5100,325.64,23.32,28.99
5150,317.92,22.51,28.28
5200,290.74,20.56,26.34
5250,317.32,22.60,28.42
5300,299.34,21.22,26.92
5350,313.66,22.65,28.17
5400,312.10,22.14,27.89
5450,312.50,22.18,28.03
5500,318.66,22.80,28.44
5550,321.60,22.93,28.69
5600,305.12,21.60,27.44
5650,303.88,21.63,27.26
5700,293.14,20.73,26.47
5750,317.60,22.46,28.39
5800,308.00,21.55,27.63
5850,321.98,23.31,28.78
5900,314.10,22.18,27.93
5950,307.92,21.75,27.57
6000,307.68,21.75,27.60
6050,311.62,22.62,27.96
6100,295.00,21.09,26.64
6150,306.70,21.68,27.43
6200,310.34,21.55,27.72
6250,314.14,22.36,28.00
6300,290.94,21.39,26.48
6350,299.00,22.08,26.79
6400,301.84,21.44,27.03
6450,311.54,22.75,28.05
6500,296.48,21.42,26.81
6550,302.28,21.89,27.23
6600,313.16,21.92,27.89
6650,291.70,20.89,26.21
6700,292.38,21.49,26.50
6750,299.08,21.28,26.96
6800,291.90,21.46,26.24
6850,292.64,21.77,26.46
6900,293.00,20.70,26.38
6950,306.40,22.61,27.56
7000,307.86,21.83,27.62
7050,293.80,21.33,26.58
7100,297.94,21.78,26.83
7150,289.96,20.98,26.28
7200,280.30,20.38,25.36
7250,313.84,22.02,28.02
7300,288.46,21.05,26.15
7350,298.62,22.00,26.92
7400,312.76,23.32,28.05
7450,305.06,22.33,27.50
7500,297.48,21.16,26.94
7550,284.52,20.53,25.88
7600,307.26,22.66,27.85
7650,303.14,21.54,27.35
7700,295.08,21.12,26.82
7750,307.78,22.22,27.76
7800,306.90,22.37,27.65
7850,300.44,21.45,27.05
7900,290.56,20.68,26.34
7950,286.84,21.02,25.92
8000,313.92,23.07,28.13
8050,295.08,21.27,26.66
8100,304.96,22.04,27.42
8150,300.44,20.91,27.09
8200,288.98,20.46,26.23
8250,313.10,22.49,28.10
8300,291.70,21.20,26.35
