Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,322.20,-0.06,13.72
20,268.00,-0.51,13.38
30,140.50,-1.20,8.67
40,252.70,-0.70,12.93
50,176.90,-0.88,10.74
60,244.90,-0.24,11.84
70,171.70,-1.13,10.81
80,147.50,-0.90,9.86
90,427.50,0.90,17.51
100,130.30,-0.55,7.23
110,295.10,-0.09,11.90
120,112.30,-0.67,8.84
130,64.00,-0.94,6.26
140,181.60,-0.38,11.42
150,225.30,-0.47,11.41
160,459.00,0.87,18.20
170,196.50,-0.89,12.30
180,223.10,-1.17,12.22
190,257.10,-0.44,14.28
200,343.00,0.48,16.56
210,240.20,-1.19,12.15
220,203.60,-0.90,12.49
230,248.40,-0.49,13.15
240,362.50,-0.04,16.22
260,561.30,1.02,29.48
270,346.70,0.48,16.64
280,130.50,-1.34,9.92
290,220.90,-0.92,12.17
300,135.10,-0.84,10.74
310,308.90,-0.24,14.61
320,191.60,-0.94,11.51
330,288.60,0.29,16.43
340,228.00,-0.67,12.79
350,158.90,-0.86,10.72
380,569.20,-1.63,32.06
390,329.90,0.49,14.64
400,95.00,-0.16,8.50
410,165.00,-0.12,11.42
420,67.30,-0.89,6.78
430,132.00,-1.39,9.42
440,87.40,-1.30,9.10
450,81.60,-1.35,8.17
470,282.50,-1.91,17.62
480,293.10,-0.03,13.70
490,293.50,-0.23,14.28
500,327.80,-0.07,13.60
510,299.70,0.41,12.73
520,226.80,-0.22,11.92
530,162.30,-0.86,11.13
540,223.90,-0.22,11.75
550,296.30,0.72,15.30
560,293.50,-0.48,14.35
580,449.00,-0.55,21.88
590,142.00,-0.90,9.16
600,244.30,-0.99,11.29
610,187.00,0.32,12.43
620,258.60,-0.45,13.45
630,140.70,-0.85,10.33
640,80.00,-1.60,8.15
650,226.00,0.08,13.07
660,223.70,-0.42,12.61
670,196.80,-0.50,10.62
680,288.50,-0.03,13.77
690,142.40,-1.15,9.72
700,221.60,0.17,10.07
710,219.60,-0.52,10.89
720,122.90,-0.99,7.92
730,130.50,-0.49,8.33
740,216.40,-0.07,10.13
750,215.30,-0.07,10.20
790,674.20,-2.41,38.07
800,335.40,0.92,10.85
810,326.20,0.39,14.55
820,375.50,0.65,15.75
830,570.40,1.48,21.65
840,131.20,-0.89,9.34
10,161.20,-0.47,10.00
20,229.60,-1.18,11.63
30,409.00,1.18,19.88
40,155.40,-0.41,11.14
50,126.80,-0.64,9.52
60,343.40,0.23,16.40
70,352.20,0.87,14.92
90,755.20,2.30,34.57
100,413.10,0.56,16.26
110,336.70,0.43,15.44
120,267.10,-0.31,12.42
140,613.50,0.51,26.14
150,274.00,0.18,12.86
160,273.10,0.24,13.77
