Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
50,315.32,22.56,27.95
100,322.14,22.59,28.43
150,326.94,23.09,28.83
200,310.06,22.37,27.61
250,316.26,22.50,28.02
300,333.00,23.89,29.32
350,311.20,21.83,27.65
400,312.80,22.03,27.82
450,312.18,22.31,27.74
500,322.82,22.93,28.43
550,313.30,22.26,27.91
600,306.90,21.58,27.45
650,316.88,22.85,28.23
700,298.22,20.65,26.74
750,320.76,22.88,28.48
800,321.84,22.98,28.52
850,306.30,22.08,27.43
900,326.98,23.74,29.03
950,317.60,22.69,28.17
1000,316.58,22.32,27.95
1050,312.84,22.01,27.76
1100,309.60,21.59,27.69
1150,310.88,21.92,27.52
1200,317.10,22.46,28.09
1250,309.96,22.27,27.72
1300,298.46,20.83,26.73
1350,322.14,22.84,28.53
1400,310.56,22.02,27.61
1450,310.10,21.34,27.44
1500,320.00,22.16,28.20
1550,308.00,21.00,27.16
1600,313.34,21.96,27.65
1650,320.00,22.79,28.34
1700,309.72,21.72,27.58
1750,305.68,21.89,27.26
1800,320.14,22.89,28.40
1850,321.72,22.78,28.53
1900,316.46,22.46,28.11
1950,309.02,21.78,27.48
2000,318.82,22.80,28.39
2050,313.30,22.01,27.88
2100,324.48,23.55,28.83
2150,313.32,21.73,27.86
2200,308.30,21.83,27.59
2250,318.36,22.74,28.39
2300,327.00,23.88,29.02
2350,319.02,22.47,28.33
2400,322.28,22.84,28.51
2450,313.24,22.26,27.92
2500,322.88,22.56,28.61
2550,318.26,22.41,28.20
2600,291.66,20.23,26.09
2650,318.78,22.80,28.39
2700,311.42,22.04,27.96
2750,318.46,22.27,28.21
2800,320.52,22.60,28.52
2850,317.82,22.31,28.25
2900,302.06,21.41,27.09
2950,311.00,22.21,27.73
3000,323.62,22.70,28.51
3050,321.00,23.15,28.39
3100,314.40,22.15,27.78
3150,325.10,22.90,28.60
3200,325.62,22.37,28.47
3250,327.20,23.34,28.74
3300,331.08,23.28,29.10
3350,308.72,21.83,27.35
3400,315.40,22.33,27.80
3450,325.16,23.10,28.53
3500,314.52,22.12,27.97
3550,301.20,21.44,26.86
3600,318.00,22.38,28.10
3650,319.00,22.81,28.23
3700,324.82,22.86,28.60
3750,322.18,22.45,28.36
3800,330.88,23.34,29.03
3850,327.72,23.25,28.79
3900,318.10,22.28,28.07
3950,321.22,22.28,28.23
4000,330.92,22.80,28.77
4050,319.04,22.60,28.17
4100,324.02,22.74,28.59
4150,325.20,23.34,28.66
4200,323.00,22.57,28.35
4250,314.56,22.00,27.64
4300,309.76,21.44,27.55
4350,339.50,24.44,29.70
4400,311.88,22.19,27.74
4450,324.20,22.60,28.51
4500,319.00,22.43,28.22
4550,323.92,22.61,28.38
4600,326.98,23.01,28.53
4650,322.02,23.09,28.37
4700,315.00,22.00,27.69
4750,313.74,21.92,27.49
4800,326.08,23.38,28.67
4850,312.78,21.72,27.50
4900,320.70,22.45,28.31
4950,327.88,22.86,28.64
5000,338.50,24.22,29.37
5050,328.68,23.14,28.74
5100,330.64,23.46,28.72
5150,329.58,23.53,28.82
5200,331.92,23.43,28.95
5250,341.50,24.12,29.42
5300,325.00,22.88,28.16
5350,332.00,23.71,29.03
5400,319.30,22.57,27.97
5450,325.70,23.33,28.73
5500,327.74,22.71,28.45
5550,336.26,23.96,29.26
5600,329.88,23.20,28.67
5650,322.12,22.76,28.24
5700,329.00,23.16,28.66
5750,336.68,23.49,29.08
5800,338.20,24.51,29.44
5850,327.40,23.09,28.48
5900,341.78,24.35,29.50
5950,335.60,23.16,29.17
6000,324.02,22.74,28.52
6050,335.70,23.69,29.49
6100,328.32,23.12,29.00
6150,313.56,22.08,27.89
6200,329.04,23.31,28.83
6250,333.12,23.44,29.17
6300,313.00,22.51,27.80
6350,323.88,23.57,28.70
6400,320.72,22.92,28.55
6450,342.66,24.59,30.00
6500,321.74,22.59,28.29
6550,324.26,23.40,28.64
6600,326.98,22.78,28.64
6650,314.04,21.92,27.90
6700,316.22,22.13,27.84
6750,332.46,23.26,29.14
6800,346.30,24.62,30.34
6850,349.00,25.11,30.47
6900,328.34,23.33,28.81
6950,335.24,24.75,29.74
7000,344.76,25.17,30.40
7050,340.00,25.06,30.04
7100,333.66,24.17,29.35
7150,339.40,24.87,29.88
7200,339.68,25.20,30.14
7250,350.60,25.24,30.76
7300,336.02,24.02,29.57
7350,330.64,24.03,29.22
7400,357.28,27.03,31.49
7450,334.40,23.86,29.61
7500,329.12,24.13,29.21
7550,346.56,26.13,30.75
7600,329.88,23.78,29.14
7650,349.42,25.94,30.63
7700,341.70,25.00,30.20
7750,334.30,24.32,29.50
7800,340.10,24.26,29.75
7850,331.24,23.89,29.26
7900,353.32,25.39,30.67
7950,336.34,24.02,29.60
8000,319.32,23.27,28.35
8050,317.30,22.98,28.13
8100,335.72,24.26,29.60
8150,331.40,25.07,29.65
8200,332.28,24.49,29.67
8250,328.38,23.98,29.08
8300,332.28,24.20,29.49
8350,347.36,25.11,30.49
8400,337.04,24.07,29.48
8450,346.92,26.35,30.84
8500,364.00,27.59,32.02
8550,332.24,24.50,29.60
8600,320.10,23.39,28.69
8650,360.06,28.30,32.13
8700,331.60,24.96,29.60
8750,304.34,21.30,27.31
8800,305.66,21.20,27.37
8850,313.34,22.16,28.04
8900,316.56,22.59,28.26
8950,329.20,23.51,29.24
9000,311.90,21.82,27.87
9050,311.90,22.30,27.97
9100,318.10,22.84,28.41
9150,302.64,21.39,27.20
9200,315.70,22.69,28.24
9250,316.80,22.49,28.32
9300,312.50,22.26,28.05
9350,312.60,21.92,27.91
9400,305.10,21.11,27.32
9450,321.00,22.50,28.46
9500,316.38,22.74,28.40
9550,303.36,21.40,27.32
9600,313.14,22.56,27.96
9650,300.12,21.02,26.92
9700,298.74,21.83,27.03
9750,316.92,22.78,28.36
9800,312.40,21.98,27.92
9850,301.24,20.86,27.04
9900,311.70,21.53,27.75
9950,311.66,21.95,27.81
10000,296.70,21.23,26.69
10050,302.92,21.26,27.31
10100,313.38,22.10,28.07
10150,319.00,22.65,28.39
10200,328.40,23.32,29.08
10250,327.30,23.56,29.14
10300,320.30,22.32,28.49
10350,319.64,22.39,28.36
