Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
50,296.38,21.28,26.92
100,309.42,22.37,27.79
150,306.02,22.37,27.56
200,313.96,22.12,28.07
250,298.08,21.20,26.81
300,304.16,20.99,27.11
350,304.76,21.62,27.37
400,296.06,20.83,26.63
450,305.22,21.54,27.39
500,301.34,21.35,27.17
550,311.52,22.56,27.96
600,304.48,21.93,27.54
650,306.62,21.55,27.64
700,294.82,20.82,26.72
750,303.66,21.60,27.35
800,309.92,22.40,27.97
850,306.36,21.59,27.60
900,310.84,22.03,27.75
950,303.70,21.20,27.31
1000,314.08,22.04,27.90
1050,302.10,20.66,27.00
1100,307.22,22.32,27.44
1150,309.08,21.49,27.60
1200,310.92,21.93,27.74
1250,316.66,22.55,28.20
1300,312.02,22.12,27.99
1350,304.32,21.56,27.39
1400,314.00,22.13,28.13
1450,313.00,22.16,27.94
1500,307.06,21.78,27.39
1550,301.74,21.07,27.15
1600,297.20,20.92,26.87
1650,306.68,21.65,27.62
1700,291.32,20.67,26.60
1750,292.88,20.97,26.63
1800,300.22,21.35,27.17
1850,288.10,19.81,26.08
1900,316.54,22.41,28.24
1950,298.60,21.10,26.89
2000,306.00,21.74,27.46
2050,306.64,22.09,27.59
2100,300.68,21.07,27.02
2150,317.68,22.97,28.25
2200,307.28,21.44,27.49
2250,303.38,21.53,27.20
2300,309.00,21.10,27.53
2350,306.00,21.50,27.36
2400,314.68,22.17,28.21
2450,313.52,22.12,28.06
2500,298.46,21.26,26.83
2550,307.30,21.66,27.49
2600,311.24,21.97,27.78
2650,307.80,21.74,27.55
2700,308.68,21.70,27.56
2750,301.98,21.03,27.04
2800,310.34,21.85,27.63
2850,317.76,22.55,28.16
2900,314.98,22.02,27.94
2950,307.74,21.30,27.45
3000,310.20,22.35,27.69
3050,312.98,22.74,27.92
3100,315.72,21.73,27.92
3150,315.62,21.92,28.02
3200,309.08,21.90,27.52
3250,309.92,21.79,27.62
3300,310.90,21.99,27.74
3350,317.76,22.51,28.20
3400,317.12,21.88,28.12
3450,316.22,22.45,28.17
3500,310.10,21.68,27.57
3550,309.28,21.79,27.61
3600,323.12,22.92,28.59
3650,316.40,22.07,28.21
3700,331.10,23.83,29.40
3750,308.08,21.60,27.44
3800,317.38,22.22,28.16
3850,325.22,23.15,28.79
3900,324.00,22.89,28.82
3950,314.90,22.36,28.05
4000,313.50,22.07,27.87
4050,329.02,23.25,28.91
4100,315.30,22.42,27.96
4150,319.58,22.27,28.29
4200,315.62,22.01,27.91
4250,316.48,22.12,28.04
4300,322.10,22.64,28.47
4350,309.56,21.84,27.51
4400,321.60,22.76,28.48
4450,320.06,22.65,28.36
4500,324.88,23.14,28.56
4550,316.12,21.74,27.98
4600,321.98,23.02,28.56
4650,326.00,22.60,28.73
4700,332.00,23.98,29.47
4750,319.12,22.98,28.46
4800,317.60,22.16,28.11
4850,320.50,22.76,28.44
4900,324.08,22.74,28.69
4950,319.08,22.39,28.38
5000,320.92,22.74,28.53
5050,312.98,22.17,27.76
5100,307.02,21.33,27.20
5150,319.32,22.11,28.26
5200,314.38,21.88,27.95
5250,320.60,22.76,28.43
5300,326.40,23.17,28.87
5350,324.28,22.72,28.60
5400,313.34,21.69,27.83
5450,325.90,23.35,28.74
5500,303.78,21.35,27.15
5550,323.00,22.76,28.16
5600,305.92,21.45,27.21
5650,308.68,21.85,27.36
5700,319.72,22.48,28.10
5750,316.08,22.52,27.95
5800,318.22,22.02,28.13
5850,325.50,22.86,28.70
5900,321.88,22.91,28.40
5950,316.06,22.22,28.04
6000,311.26,21.64,27.59
6050,318.90,23.31,28.20
6100,315.78,22.68,27.95
6150,338.92,24.34,29.79
6200,340.48,24.35,29.85
6250,326.28,23.22,28.70
6300,323.38,22.64,28.55
6350,311.00,22.26,27.61
6400,312.94,22.81,27.76
6450,326.34,23.25,28.88
6500,335.06,23.78,29.27
6550,320.62,22.74,28.18
6600,326.10,22.50,28.62
6650,312.22,22.77,27.84
6700,329.06,23.57,28.89
6750,335.60,23.92,29.53
6800,326.06,23.32,28.95
6850,325.64,22.11,28.44
6900,307.30,22.28,27.42
6950,315.34,22.74,27.99
7000,310.72,22.14,27.57
7050,298.28,21.11,26.34
7100,318.40,22.87,28.34
7150,299.66,21.77,26.70
7200,305.60,22.55,27.20
7250,305.52,21.25,27.17
7300,327.82,23.48,29.00
7350,317.00,22.65,28.19
7400,313.00,22.06,27.88
7450,324.04,23.39,28.69
7500,333.96,23.59,29.31
7550,316.06,22.88,28.08
7600,325.30,22.98,28.57
7650,314.30,22.91,27.79
7700,314.92,22.40,27.98
7750,298.22,21.48,26.80
7800,310.48,23.05,27.63
7850,323.20,22.60,28.60
7900,311.92,22.67,27.71
7950,305.40,21.65,27.24
