Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,334.90,4.81,31.43
20,374.70,5.79,35.44
30,356.70,5.55,33.57
40,355.20,5.81,33.60
50,341.80,4.56,32.23
60,391.30,6.54,37.01
70,370.10,5.55,34.80
80,376.70,6.29,35.56
90,389.70,6.29,36.86
100,318.50,4.32,29.63
110,361.40,5.30,34.24
120,327.30,4.57,31.11
130,337.20,4.57,32.05
140,344.20,5.06,32.43
150,316.40,3.82,29.49
160,361.50,5.30,33.97
170,308.10,4.58,28.90
180,303.10,3.33,27.80
190,407.80,7.28,38.63
200,346.80,5.06,32.52
210,310.00,3.83,28.96
220,362.70,5.05,33.80
230,356.40,5.30,33.45
240,335.60,4.81,31.54
250,300.60,3.83,27.68
260,367.80,5.80,34.62
270,379.90,6.04,35.97
280,333.20,4.32,31.32
290,413.40,7.27,38.73
300,353.40,4.81,33.38
310,336.70,4.56,31.60
320,324.90,4.32,30.61
330,326.80,4.07,30.85
340,387.30,6.04,36.33
350,347.50,5.06,32.87
360,416.00,7.02,39.45
370,288.40,3.34,26.72
380,372.10,5.30,35.27
390,365.00,5.55,34.46
400,380.50,6.29,35.99
410,387.70,6.04,36.90
420,372.10,5.55,34.99
430,356.80,5.30,33.53
440,341.40,4.56,32.25
450,336.50,5.06,31.71
460,364.00,5.30,34.27
470,369.50,5.29,33.96
480,341.00,4.81,31.92
490,342.60,5.06,32.21
500,330.10,4.82,31.20
510,384.70,6.29,36.48
520,313.50,3.83,29.46
530,383.10,6.04,36.00
540,400.30,6.78,37.99
550,356.20,5.31,33.85
560,393.50,6.29,37.24
570,386.50,6.54,36.53
580,410.00,6.78,38.84
590,410.20,7.03,38.92
600,322.10,4.07,30.06
610,416.60,6.52,38.23
620,374.60,6.05,35.43
630,363.50,5.30,34.37
640,355.30,5.30,33.42
650,375.60,6.55,35.62
660,349.90,5.31,32.88
670,395.70,6.28,37.39
680,388.20,6.54,36.66
690,319.70,5.08,30.50
700,370.70,6.05,34.68
710,365.10,5.80,34.44
720,348.00,4.56,32.43
730,393.20,6.04,37.23
740,333.50,4.56,30.49
750,315.30,4.33,29.62
760,303.60,3.83,28.47
770,301.10,3.58,27.99
780,290.00,3.09,27.46
790,346.60,5.06,32.94
800,362.00,5.30,34.02
810,399.00,6.28,37.72
820,348.50,5.06,32.87
830,332.80,4.57,31.28
840,354.40,4.80,33.30
850,395.30,6.28,37.34
860,400.00,6.28,37.81
870,409.00,6.78,38.83
880,342.50,5.31,32.09
890,351.00,5.06,32.93
900,337.20,4.56,31.50
910,363.10,5.30,34.29
920,389.70,6.29,36.89
930,341.50,4.56,32.18
940,340.80,4.56,31.88
950,391.60,6.29,37.04
960,374.80,6.04,35.43
970,350.20,4.81,32.93
980,356.30,5.55,33.64
990,369.30,5.55,34.86
1000,352.20,4.81,33.16
1010,318.80,4.32,29.78
1020,391.50,6.29,36.98
1030,347.90,5.31,32.70
1040,325.50,4.57,30.52
1050,332.50,4.07,31.36
1060,372.50,5.80,35.12
1070,355.10,5.30,33.52
1080,425.00,7.27,40.33
1090,386.70,6.54,36.52
1100,403.30,6.28,38.24
1110,385.00,5.79,36.56
1120,376.10,5.54,35.46
1130,323.90,5.07,30.30
1140,383.70,6.04,36.35
1150,434.80,7.26,41.29
1160,377.00,6.29,35.68
1170,356.50,6.30,33.53
1180,363.40,5.55,34.26
1190,293.40,4.09,27.36
1200,296.20,3.84,27.90
1210,330.00,4.57,30.82
1220,344.90,5.56,32.43
1230,330.10,4.32,31.22
1240,315.30,4.33,29.84
1250,384.70,6.29,36.41
1260,406.80,7.03,38.49
1270,343.20,5.56,32.28
1280,351.90,5.31,33.16
1290,330.70,4.32,31.42
1300,291.40,3.34,27.23
1310,412.40,7.03,39.28
1320,385.40,6.04,36.29
1330,328.10,4.32,30.80
1340,335.10,4.31,31.51
1350,338.20,4.31,31.88
1360,351.80,5.31,33.36
1370,405.00,6.78,38.47
1380,319.20,4.07,29.80
1390,300.10,4.08,28.48
1400,358.90,5.80,33.97
1410,302.60,4.33,28.84
1420,396.90,7.03,37.56
1430,348.80,4.81,32.91
1440,405.20,6.53,38.32
1450,306.00,3.58,28.48
1460,270.70,2.60,25.22
1470,326.30,4.32,30.41
1480,355.30,4.80,33.32
1490,333.40,3.81,30.40
1500,293.50,3.09,27.46
1510,363.10,5.30,34.25
1520,362.00,5.80,34.19
1530,378.00,5.79,35.51
1540,330.00,4.82,31.00
1550,369.00,5.80,34.92
1560,356.80,5.55,33.50
1570,395.70,6.53,37.55
1580,375.00,5.54,35.22
1590,403.50,6.28,38.21
1600,420.00,6.77,39.74
1610,406.70,6.53,38.32
1620,326.30,4.57,30.88
1630,377.50,6.29,35.71
1640,366.40,6.05,34.57
1650,382.60,6.29,36.40
1660,355.90,5.80,33.63
1670,381.60,6.04,35.96
1680,393.00,6.29,37.33
1690,386.50,6.79,36.64
1700,400.40,6.53,37.81
1710,331.90,4.82,31.22
1720,341.10,4.81,32.34
1730,357.00,5.30,33.89
1740,394.10,6.79,37.48
1750,360.00,5.55,33.91
1760,332.80,4.82,31.34
1770,366.50,6.05,34.65
1780,383.20,6.04,36.31
1790,376.10,6.04,35.52
1800,320.80,4.32,30.38
1810,379.90,6.29,36.03
1820,370.10,5.80,34.99
1830,379.60,5.79,35.91
1840,410.00,6.78,38.84
1850,373.50,5.55,35.37
1860,403.30,6.78,38.35
1870,414.70,7.02,39.34
1880,374.00,5.80,35.41
1890,353.90,5.56,33.46
1900,340.50,5.31,32.22
1910,337.00,5.31,31.66
1920,398.60,6.28,37.80
1930,357.70,5.55,33.66
1940,413.30,7.03,39.31
1950,356.90,4.80,33.60
1960,372.10,5.80,35.40
1970,327.30,4.57,30.93
1980,393.20,6.54,37.32
1990,380.50,6.04,35.80
2000,389.80,6.54,36.91
2010,394.70,6.53,37.34
2020,332.40,4.57,31.31
2030,297.10,3.33,27.83
2040,331.50,4.57,31.01
2050,406.70,6.78,38.41
2060,328.80,4.82,31.02
2070,332.50,4.82,31.57
2080,320.00,4.82,29.89
2090,393.70,6.78,37.18
2100,383.30,5.79,36.17
2110,410.00,6.78,38.86
2120,400.70,6.28,37.76
2130,297.70,3.58,27.91
2140,354.40,5.81,33.61
2150,363.40,5.30,34.31
2160,350.20,5.31,32.99
2170,388.60,6.54,36.92
2180,351.40,4.81,33.19
2190,331.10,4.57,31.27
2200,377.40,5.79,35.83
2210,371.60,6.05,35.60
2220,344.70,4.56,32.41
2230,334.70,4.82,31.47
2240,380.40,5.29,34.73
2250,386.70,6.04,36.71
2260,396.90,6.28,37.34
2270,383.10,5.79,36.29
2280,339.60,4.31,31.90
2290,416.90,7.02,39.45
2300,404.00,6.28,38.16
2310,359.10,6.05,33.83
2320,346.90,4.81,32.48
2330,376.90,6.29,35.53
2340,310.00,3.83,28.92
2350,378.60,5.79,35.93
2360,376.40,5.79,35.44
2370,352.00,5.31,33.32
2380,350.10,5.56,33.00
2390,329.50,4.82,30.75
2400,350.80,5.06,32.85
2410,425.20,7.27,40.37
2420,325.30,4.32,30.41
2430,386.40,6.54,36.48
2440,309.10,4.08,29.07
2450,342.90,5.06,32.08
2460,353.50,5.31,33.30
2470,383.50,6.29,36.13
2480,358.30,5.05,33.85
2490,350.40,4.81,33.01
2500,376.10,6.29,35.53
2510,370.40,5.80,34.88
2520,385.00,6.29,36.49
2530,356.50,5.05,33.76
2540,333.60,4.82,31.43
2550,338.00,5.06,31.95
2560,357.00,5.30,33.86
2570,391.50,6.29,37.00
2580,357.30,5.30,33.77
2590,400.70,6.78,37.98
2600,415.00,7.02,39.31
2610,328.50,4.07,30.84
2620,401.00,6.78,38.00
2630,362.20,5.30,34.31
2640,400.80,7.03,38.07
2650,298.70,3.33,27.94
2660,365.70,5.80,34.53
2670,407.60,6.53,38.70
2680,329.00,4.32,30.86
2690,395.00,6.53,37.40
2700,288.40,3.34,27.08
2710,403.10,6.78,38.02
2720,378.90,6.04,35.86
2730,358.10,5.55,33.98
2740,369.90,6.05,35.04
2750,364.50,5.30,34.55
2760,332.10,5.07,31.16
2770,370.20,5.80,35.02
2780,391.70,6.54,37.07
2790,364.60,5.55,34.37
2800,373.00,5.80,35.38
2810,400.50,6.78,37.99
2820,338.20,4.81,31.77
2830,403.30,6.78,38.31
2840,318.00,4.07,29.93
2850,392.40,6.29,37.31
2860,383.20,5.79,36.26
2870,374.90,6.80,35.66
2880,328.80,5.07,31.29
2890,405.70,6.53,38.63
2900,373.90,5.55,35.61
2910,356.50,6.05,33.72
2920,391.60,6.29,37.43
2930,356.90,5.30,33.88
2940,341.00,4.81,32.40
2950,345.60,5.56,32.68
2960,375.50,6.04,35.59
2970,311.00,4.08,29.29
2980,353.90,5.31,33.37
2990,351.60,5.31,33.39
3000,356.50,5.30,33.73
3010,401.50,6.28,38.21
3020,380.00,5.79,36.17
3030,386.80,6.54,36.54
3040,416.70,6.77,39.62
3050,369.00,5.80,34.96
3060,383.90,6.29,36.40
3070,311.20,4.32,28.15
3080,340.80,4.81,32.23
3090,289.10,3.84,27.07
3100,379.20,6.04,35.86
3110,367.80,5.30,35.03
3120,338.90,4.56,32.09
3130,304.10,4.08,28.55
3140,360.70,6.05,34.14
3150,350.30,5.56,33.11
3160,358.40,5.80,33.96
3170,383.20,6.04,36.35
3180,399.80,7.03,37.92
3190,404.60,6.78,38.46
3200,369.00,6.30,35.13
3210,368.00,5.55,34.83
3220,430.30,7.27,40.74
3230,374.50,5.79,35.31
3240,320.40,3.82,30.18
3250,341.70,5.06,32.21
3260,350.00,4.81,33.22
3270,363.90,5.30,34.53
3280,375.90,5.80,35.70
3290,390.50,6.54,37.20
3300,383.30,6.29,36.27
3310,357.40,4.80,33.66
3320,372.30,6.05,35.17
3330,372.00,5.80,34.94
3340,424.80,7.27,40.38
3350,368.70,5.80,34.91
3360,381.60,6.04,36.20
3370,381.60,5.79,36.28
3380,334.70,5.07,31.64
3390,333.70,4.82,31.52
3400,376.60,5.79,35.78
3410,419.70,6.77,39.86
3420,364.80,6.30,34.51
3430,348.50,5.56,33.01
3440,396.00,7.03,37.61
3450,327.50,4.57,31.27
3460,349.60,5.56,33.50
3470,331.70,4.56,30.39
3480,371.70,6.05,35.13
3490,353.50,5.56,33.53
3500,362.00,5.80,34.50
3510,364.90,5.55,34.38
3520,385.50,6.54,36.57
3530,379.10,6.29,35.95
3540,364.10,5.80,34.49
3550,366.20,5.80,34.87
3560,384.90,6.29,36.49
3570,406.40,7.53,38.63
3580,393.50,6.29,37.36
3590,376.50,6.29,35.63
3600,390.00,6.04,36.83
3610,380.00,6.04,35.98
3620,323.60,4.07,30.65
3630,423.90,7.52,40.33
3640,352.50,5.31,33.52
3650,341.50,4.56,32.29
3660,367.10,5.80,35.00
3670,404.90,6.78,38.42
3680,364.50,5.55,34.42
3690,337.40,4.81,31.77
3700,356.30,5.56,33.96
3710,356.80,5.30,33.86
3720,333.50,4.57,31.73
3730,368.00,5.80,34.92
3740,365.00,5.80,34.50
3750,418.80,6.77,39.71
3760,387.20,6.29,36.80
3770,365.00,5.30,34.39
3780,359.80,5.80,33.90
3790,371.60,5.80,35.44
3800,364.50,6.05,34.58
3810,344.80,5.06,32.46
3820,341.70,4.81,32.35
3830,347.10,4.81,32.75
3840,389.50,6.29,36.94
3850,333.80,4.57,31.66
3860,404.70,6.78,38.34
3870,306.90,3.83,28.93
3880,372.50,6.05,35.41
3890,377.10,6.29,35.70
3900,358.50,6.05,34.05
3910,370.00,5.55,35.21
3920,384.90,6.29,36.37
3930,378.30,6.04,35.91
3940,345.20,4.81,32.61
3950,386.00,6.04,36.80
3960,335.40,4.82,32.02
3970,390.30,6.54,37.05
3980,337.40,5.07,32.02
3990,386.20,6.54,36.66
4000,356.00,5.55,33.50
4010,388.70,6.29,36.99
4020,388.40,6.04,36.81
4030,354.70,5.56,33.46
4040,408.50,6.78,38.84
4050,346.70,5.56,32.74
4060,393.40,6.29,37.35
4070,384.90,6.29,36.47
4080,373.30,5.55,35.39
4090,383.20,6.29,36.48
4100,425.00,7.27,40.33
4110,395.40,6.53,37.45
4120,407.70,7.03,38.89
4130,383.80,6.04,36.37
4140,345.00,5.56,32.79
4150,388.10,6.04,36.79
4160,355.00,5.55,33.41
4170,331.90,4.57,31.50
4180,376.60,5.80,35.84
4190,336.00,4.56,31.68
4200,353.50,5.56,33.44
4210,385.50,6.29,36.42
4220,377.50,6.29,35.72
4230,342.90,5.56,32.62
4240,389.70,6.04,36.94
4250,378.30,6.29,35.81
4260,387.50,6.54,36.90
4270,367.60,5.80,34.87
4280,391.90,7.04,37.22
4290,386.10,6.29,36.50
4300,420.20,7.27,39.91
4310,413.30,7.03,39.34
4320,384.90,6.54,36.49
4330,388.80,6.79,37.07
4340,339.70,5.06,31.99
4350,381.50,5.79,36.28
4360,389.80,6.54,37.02
4370,357.10,5.81,33.98
4380,402.60,6.53,38.23
4390,332.10,4.82,31.53
4400,410.00,7.03,38.88
4410,371.90,5.55,35.19
4420,349.10,4.81,32.99
4430,369.50,6.30,35.11
4440,367.90,5.55,34.82
4450,390.20,6.54,37.03
4460,415.90,7.27,39.45
4470,399.00,7.03,38.06
4480,386.70,6.54,36.56
4490,410.00,7.03,38.99
4500,408.20,6.53,38.69
4510,391.10,6.29,37.29
4520,418.50,7.02,39.75
4530,372.00,6.05,35.01
4540,433.50,7.26,41.18
4550,348.40,5.06,33.01
4560,361.70,5.80,34.05
4570,353.30,5.31,33.46
4580,343.60,5.56,32.35
4590,364.50,5.80,34.50
4600,405.00,6.78,38.42
4610,403.50,6.28,38.20
4620,348.40,4.81,32.80
4630,341.70,4.56,32.37
4640,392.30,6.79,37.20
4650,394.10,7.03,37.29
4660,415.00,7.27,39.47
4670,410.00,6.78,38.90
4680,403.50,6.53,38.22
4690,363.40,5.05,34.34
4700,357.00,5.05,33.82
4710,361.30,5.55,34.31
4720,384.80,6.54,36.49
4730,355.00,5.31,33.87
4740,415.50,7.02,39.37
4750,358.40,5.30,33.78
4760,386.10,6.54,36.56
4770,354.50,5.31,33.49
4780,380.50,6.29,35.93
4790,415.00,6.77,39.26
4800,433.50,7.26,41.17
4810,394.90,6.53,37.34
4820,381.40,6.04,35.95
4830,377.10,5.54,35.72
4840,358.30,5.30,33.85
4850,414.80,7.02,39.37
4860,423.50,7.02,40.17
4870,376.00,5.79,35.52
4880,372.40,5.54,34.91
4890,370.00,6.05,35.06
4900,371.50,5.55,35.25
4910,383.60,6.04,36.45
4920,383.00,5.79,36.30
4930,319.80,4.07,30.34
4940,398.70,6.53,37.79
4950,402.00,6.78,38.00
4960,403.10,6.28,38.15
4970,383.80,5.79,36.33
4980,347.60,5.06,32.99
4990,283.90,3.09,26.55
5000,371.10,6.05,35.10
5010,383.60,6.29,36.47
5020,358.60,5.80,34.02
5030,397.80,6.53,37.88
5040,399.00,6.53,37.85
5050,414.50,7.02,39.34
5060,401.70,7.03,38.10
5070,383.10,6.04,36.26
5080,372.00,6.30,35.13
5090,308.80,3.83,28.94
5100,379.40,6.04,35.82
5110,391.50,6.04,37.16
5120,434.50,7.26,41.26
5130,385.50,6.04,36.29
5140,336.10,4.56,31.44
5150,392.40,6.29,37.30
5160,361.90,5.80,34.17
5170,347.30,5.06,32.49
5180,408.20,6.78,38.77
5190,344.40,4.56,32.64
5200,363.50,5.55,34.04
5210,416.20,6.77,39.25
5220,413.50,7.03,39.31
5230,378.00,5.79,35.86
5240,335.20,4.57,31.61
5250,331.90,4.32,31.36
5260,327.90,4.32,30.96
5270,372.00,5.55,35.22
5280,431.50,7.52,40.89
5290,401.90,6.28,38.12
5300,353.10,4.81,33.34
5310,423.50,7.02,40.18
5320,352.30,5.06,33.21
5330,376.40,6.04,35.48
5340,384.50,6.04,36.45
5350,327.90,4.57,30.62
5360,375.80,5.79,35.38
5370,392.00,6.29,37.20
5380,394.10,6.54,37.39
5390,382.00,5.79,36.21
5400,418.50,6.77,39.63
5410,386.60,6.04,36.82
5420,414.40,7.53,39.60
5430,422.60,7.27,40.33
5440,434.40,7.26,41.27
5450,392.00,6.29,37.20
5460,399.00,6.78,37.92
5470,397.50,6.53,37.77
5480,354.30,4.81,33.55
5490,379.20,6.54,36.10
5500,306.90,3.83,28.98
5510,342.80,5.06,32.35
5520,386.80,6.04,36.68
5530,351.20,4.81,33.09
5540,362.30,5.30,34.24
5550,390.90,6.04,37.16
5560,344.10,5.06,32.51
5570,394.90,6.53,37.38
5580,395.20,6.79,37.55
5590,381.40,5.79,36.21
5600,399.50,6.78,37.92
5610,298.90,3.58,28.23
5620,327.00,4.32,30.95
5630,387.80,6.29,36.87
5640,375.20,5.79,35.52
5650,364.80,5.80,34.57
5660,336.90,4.56,31.68
5670,382.40,6.29,36.41
5680,346.30,5.06,32.74
5690,418.00,7.27,39.57
5700,384.70,6.54,36.49
5710,388.50,6.04,36.75
5720,408.90,6.78,38.77
5730,376.50,5.79,35.70
5740,373.30,5.80,35.41
5750,406.30,6.53,38.31
5760,410.00,6.78,38.84
5770,376.50,5.79,35.76
5780,370.00,5.30,35.16
5790,398.50,6.53,37.82
5800,400.20,6.78,37.96
5810,408.30,6.78,38.85
5820,358.80,5.30,33.82
5830,338.10,4.31,31.98
5840,382.70,6.04,36.33
5850,395.80,6.28,37.63
5860,349.60,5.56,33.01
5870,393.00,6.53,37.03
5880,402.40,6.28,38.07
5890,293.00,3.09,27.51
5900,356.60,5.05,33.66
