Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10650,30.90,5.92,11.20
10700,29.26,5.26,10.47
10750,32.06,6.76,11.66
10800,31.72,6.64,11.71
10850,31.40,6.27,11.44
10900,38.08,8.70,13.82
10950,38.30,9.11,13.98
11000,28.74,4.83,10.18
11050,37.62,8.40,13.77
11100,29.84,5.25,10.71
11150,29.26,5.61,10.60
11200,33.70,6.95,12.37
11250,34.12,6.98,12.47
11300,36.40,8.79,13.54
11350,31.56,5.70,11.33
11400,28.88,5.42,10.43
11450,31.78,5.97,11.54
11500,36.58,7.83,13.63
11550,34.56,7.28,12.49
11600,36.46,7.37,13.22
11650,31.70,6.17,11.44
11700,31.28,5.88,11.18
11750,35.72,7.80,13.03
11800,32.42,5.94,11.63
11850,33.30,6.86,12.05
11900,34.86,7.97,13.02
11950,40.14,10.05,14.78
12000,33.06,6.31,11.84
12050,31.34,6.06,11.36
12100,32.92,5.82,11.72
12150,36.34,7.45,13.09
12200,34.06,7.15,12.40
12250,34.46,7.02,12.49
12300,31.12,5.91,11.15
12350,39.50,8.61,14.39
12400,32.74,6.15,11.88
12450,37.10,7.76,13.43
12500,33.38,6.56,12.09
12550,35.04,7.07,12.79
12600,32.50,6.50,11.72
12650,34.02,7.33,12.69
12700,32.94,5.96,11.77
12750,31.78,6.24,11.68
12800,32.76,6.86,12.03
12850,37.18,8.45,13.51
12900,37.60,8.15,13.57
12950,34.56,6.83,12.29
13000,30.86,6.32,11.21
13050,32.00,6.68,11.98
13100,33.74,7.22,12.11
13150,33.62,6.89,12.30
13200,28.06,4.50,9.90
13250,32.32,6.79,11.77
13300,34.38,7.88,12.63
13350,30.94,5.40,11.22
13400,35.16,7.38,12.64
13450,33.92,6.74,12.20
13500,34.04,6.67,11.96
13550,30.42,6.03,11.03
13600,31.60,6.21,11.45
13650,38.34,8.42,13.92
13700,28.98,5.14,10.30
13750,30.20,5.99,11.01
13800,32.66,6.25,11.96
13850,37.84,8.62,13.76
13900,36.90,7.67,13.48
13950,30.98,6.44,11.29
14000,35.76,7.73,13.16
14050,35.88,7.36,12.91
14100,38.60,8.92,14.14
14150,32.54,6.41,11.47
14200,27.74,5.06,9.98
14250,35.10,7.47,12.77
14300,34.34,6.91,12.21
14350,35.30,7.31,12.79
14400,33.34,7.03,12.21
14450,30.16,5.75,10.96
14500,30.42,5.40,10.74
14550,30.86,6.48,11.22
