Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,163.50,-1.88,8.46
20,137.10,-1.85,8.27
30,140.30,-2.11,8.18
40,148.60,-1.86,8.34
50,160.70,-2.13,8.21
60,144.40,-2.11,8.43
70,153.60,-2.12,8.23
80,172.30,-1.89,8.43
90,143.00,-1.86,8.47
100,149.50,-2.11,8.42
110,153.50,-2.12,8.19
120,166.50,-1.88,8.38
130,185.10,-2.15,8.39
140,173.90,-2.14,8.19
150,175.10,-2.14,8.64
160,177.50,-1.89,9.19
170,146.00,-2.12,7.65
180,161.00,-2.13,8.19
190,166.60,-1.88,8.55
200,146.20,-1.86,8.67
210,158.00,-2.12,8.32
220,152.60,-1.87,8.38
230,158.10,-2.12,8.30
240,167.40,-2.13,8.34
250,150.50,-2.12,8.44
260,158.10,-1.87,8.24
270,164.80,-1.88,8.40
280,163.70,-1.88,8.43
290,204.00,-1.16,10.20
300,152.90,-2.12,8.15
310,159.90,-2.13,8.18
320,156.40,-2.12,8.20
330,176.90,-1.89,8.39
340,172.90,-2.14,8.35
350,194.20,-2.16,8.38
360,204.60,-1.92,8.49
370,183.90,-1.90,8.33
380,199.30,-2.17,8.10
390,188.30,-2.15,8.38
400,201.10,-1.92,8.52
410,202.80,-2.17,8.05
420,198.60,-1.91,8.29
430,207.70,-2.17,8.23
440,171.90,-2.14,8.16
450,191.90,-1.91,8.40
460,198.30,-2.16,8.32
470,187.20,-2.15,8.21
480,194.10,-2.16,8.19
490,191.20,-2.16,8.35
500,187.00,-2.15,8.12
510,195.00,-2.16,7.96
520,187.90,-2.15,8.15
530,228.00,-1.69,10.07
540,208.40,-1.92,8.59
550,183.00,-2.15,8.48
560,176.60,-2.14,8.27
570,184.40,-2.15,8.38
580,179.70,-2.15,8.10
590,208.20,-1.67,8.40
600,237.20,-1.95,8.60
610,225.10,-2.19,8.21
620,222.40,-2.19,8.07
630,259.50,-1.97,8.40
640,237.40,-2.20,8.16
650,185.00,-2.15,8.02
660,252.50,-1.97,8.44
670,213.60,-1.93,8.15
680,202.30,-2.17,8.26
690,264.30,-1.98,8.57
700,223.30,-2.19,8.14
710,227.50,-2.19,8.06
720,234.50,-2.20,8.09
730,219.80,-2.19,8.37
740,230.20,-2.20,8.46
750,231.00,-2.20,8.19
760,246.70,-2.21,8.21
770,217.00,-1.93,8.53
780,233.10,-1.94,9.13
790,209.70,-2.18,7.63
800,250.30,-2.22,8.07
810,239.80,-2.20,8.58
820,255.50,-2.22,8.31
830,302.10,-2.27,8.12
840,277.70,-2.24,8.31
850,293.50,-2.26,8.28
860,248.30,-2.21,8.23
870,263.80,-1.23,9.08
880,311.30,-2.28,8.30
890,306.00,-2.27,8.14
900,286.30,-2.25,8.23
910,295.90,-2.26,8.40
920,314.50,-1.52,10.19
930,239.80,-2.21,8.35
940,244.50,-1.96,8.34
950,291.30,-2.26,8.27
960,298.80,-1.76,9.24
970,270.70,-2.24,7.63
980,296.20,-2.01,8.27
990,283.20,-2.25,8.24
1000,271.00,-2.24,8.22
1010,275.90,-1.99,8.44
1020,294.60,-2.26,8.30
1030,328.50,-2.04,8.36
1040,330.40,-2.30,8.18
1050,335.60,-2.30,8.21
1060,304.00,-2.27,8.34
1070,338.90,-2.05,8.49
1080,322.60,-2.29,8.53
1090,268.50,-1.98,8.40
1100,270.20,-1.98,8.60
1110,280.10,-2.00,8.41
1120,292.40,-2.26,8.23
1130,318.30,-2.28,8.28
1140,308.10,-1.77,8.67
1150,298.60,-2.01,8.66
1160,303.80,-2.27,8.45
1170,320.90,-2.04,8.51
1180,315.40,-1.53,8.78
1190,287.00,-1.25,9.74
1200,316.70,-2.29,7.64
1210,290.40,-1.51,8.50
1220,297.30,-2.01,8.59
1230,329.90,-2.30,8.40
1240,353.40,-2.07,8.44
1250,330.10,-1.79,8.63
1260,356.90,-2.32,8.40
1270,315.10,-1.77,9.57
1280,332.60,-2.30,7.44
1290,361.20,-2.33,8.26
1300,325.90,-2.04,8.59
1310,322.00,-2.29,8.23
1320,336.50,-2.05,8.39
1330,340.50,-2.30,8.63
1340,320.60,-1.78,8.70
