Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,331.00,25.07,33.58
20,338.60,26.41,34.45
30,360.00,27.78,36.38
40,345.00,26.63,34.97
50,365.00,28.50,36.82
60,349.90,27.34,35.35
70,355.10,28.07,35.95
80,370.00,29.22,37.28
90,350.00,26.84,35.38
100,344.50,26.12,34.85
110,340.50,25.91,34.46
120,365.00,28.50,36.83
130,339.80,25.90,34.37
140,334.70,25.19,33.91
150,345.30,26.63,34.97
160,360.20,27.79,36.45
170,338.20,25.40,34.31
180,321.80,24.24,32.71
190,355.00,27.07,35.92
200,350.00,26.84,35.39
210,345.00,26.13,34.93
220,287.60,20.81,29.37
230,330.00,24.97,33.45
240,350.10,26.35,35.47
250,335.00,25.19,33.99
260,313.70,23.81,32.02
270,309.10,23.09,31.53
280,323.10,24.24,32.81
290,324.20,24.75,32.99
300,354.90,27.57,35.90
310,340.00,25.91,34.45
320,358.60,27.78,36.28
330,330.10,25.47,33.60
340,338.60,26.41,34.49
350,329.20,24.97,33.44
360,327.10,24.96,33.25
370,320.10,24.54,32.64
380,348.60,26.84,35.31
390,360.00,27.78,36.36
400,345.10,26.63,34.96
410,324.10,24.25,32.93
420,325.80,25.26,33.13
430,349.80,26.84,35.37
440,323.10,24.75,32.94
450,356.30,27.57,36.05
460,297.20,22.15,30.40
470,330.00,25.48,33.61
480,353.60,27.56,35.84
490,350.00,26.85,35.45
500,365.00,28.50,36.83
510,284.20,20.59,28.99
520,325.00,25.26,33.16
530,339.40,26.41,34.53
540,324.10,24.25,32.96
550,365.00,28.50,36.82
560,370.10,29.22,37.28
570,336.40,25.69,34.09
580,340.60,26.41,34.51
590,327.30,24.96,33.18
600,345.60,26.63,34.97
610,350.00,26.35,35.47
620,365.10,28.50,36.83
630,359.80,27.78,36.38
640,350.20,26.84,35.38
650,359.90,27.78,36.38
660,365.00,28.50,36.83
670,365.00,28.50,36.83
680,338.70,26.41,34.44
690,331.30,25.98,33.68
700,352.80,27.56,35.76
710,344.50,26.62,34.79
720,370.00,28.72,37.38
730,365.00,28.50,36.84
740,334.50,25.68,33.84
750,355.30,27.56,35.89
760,360.20,28.29,36.43
770,365.00,28.50,36.82
780,334.50,25.18,33.85
790,319.10,24.03,32.42
800,339.20,25.40,34.34
810,360.00,27.78,36.37
820,312.20,23.90,31.75
830,370.00,29.22,37.35
840,292.60,22.02,29.76
850,385.20,30.88,38.74
860,365.80,29.00,36.86
870,332.80,25.68,33.85
880,314.60,23.81,32.08
890,310.00,23.09,31.58
900,359.70,28.28,36.32
910,322.10,24.24,32.72
920,313.50,23.31,31.90
930,321.30,24.54,32.63
940,360.10,27.78,36.37
950,360.10,28.28,36.35
960,360.00,27.78,36.38
970,350.00,26.84,35.37
980,301.40,21.86,30.75
990,348.60,26.84,35.30
1000,359.90,27.78,36.38
1010,365.10,29.00,36.81
1020,316.40,23.82,32.26
1030,325.00,25.26,33.16
1040,325.00,25.26,33.16
1050,325.00,25.26,33.16
1060,323.50,24.75,32.99
1070,354.90,27.56,35.83
1080,355.10,27.07,35.91
1090,360.10,28.28,36.35
1100,332.10,25.48,33.66
1110,355.10,27.57,35.97
1120,360.00,27.78,36.37
1130,354.80,27.56,35.83
1140,385.20,30.88,38.89
1150,356.20,27.57,35.96
1160,333.80,25.69,34.00
1170,345.00,26.13,34.99
1180,317.90,23.52,32.31
1190,339.70,25.91,34.48
1200,355.00,27.56,35.83
1210,341.60,26.42,34.63
1220,338.50,26.41,34.40
1230,350.10,26.84,35.34
1240,364.90,28.50,36.82
1250,342.30,26.62,34.81
1260,345.00,26.62,34.89
1270,340.00,25.91,34.46
1280,328.40,25.46,33.36
1290,340.80,25.91,34.55
1300,318.70,24.53,32.53
1310,359.70,28.28,36.37
1320,333.70,25.18,33.75
1330,323.20,24.25,32.88
1340,303.40,22.37,30.97
1350,280.30,20.57,28.56
1360,320.40,24.54,32.62
1370,334.10,25.18,33.87
1380,340.20,25.91,34.41
1390,339.90,25.90,34.36
1400,350.00,26.84,35.37
1410,359.90,28.28,36.35
1420,323.00,24.75,32.93
1430,339.30,25.90,34.35
1440,365.00,28.50,36.83
1450,355.00,27.57,35.90
1460,354.50,27.56,35.76
1470,355.20,27.56,35.86
1480,280.30,20.58,28.66
1490,344.50,26.62,34.76
1500,355.50,27.57,35.91
1510,360.00,27.78,36.36
1520,334.20,25.68,33.82
1530,324.40,24.75,33.06
1540,339.10,25.90,34.37
1550,360.10,27.78,36.39
1560,349.90,26.84,35.38
1570,366.50,29.01,36.97
1580,325.00,25.26,33.12
1590,348.60,26.84,35.29
1600,322.20,24.24,32.75
1610,307.80,22.58,31.31
1620,341.40,26.41,34.63
1630,314.40,23.82,32.09
1640,329.60,24.97,33.47
1650,326.00,25.26,33.13
1660,333.60,25.68,33.84
1670,339.80,26.40,34.39
1680,365.00,28.50,36.83
1690,365.20,29.00,36.82
1700,379.90,30.16,38.29
1710,355.90,27.57,35.95
1720,347.10,27.64,35.15
1730,310.70,23.09,31.59
1740,325.00,25.26,33.15
1750,368.60,29.22,37.29
1760,331.00,24.97,33.53
1770,306.90,22.58,31.25
1780,365.00,28.50,36.84
1790,321.60,24.54,32.75
1800,331.90,25.48,33.72
1810,333.60,25.69,33.93
1820,365.00,28.50,36.83
1830,302.90,22.37,30.92
1840,354.80,27.56,35.82
1850,359.90,28.28,36.38
1860,360.20,28.28,36.37
1870,339.80,26.41,34.41
1880,355.10,27.56,35.86
1890,357.30,28.57,36.13
1900,380.00,30.16,38.30
1910,349.20,27.34,35.29
1920,350.80,27.85,35.51
1930,331.60,25.48,33.64
1940,334.80,25.69,33.94
1950,343.60,26.63,34.93
1960,329.20,24.97,33.48
1970,282.20,20.49,28.86
1980,349.10,27.35,35.42
1990,300.40,22.15,30.60
2000,339.10,25.90,34.34
2010,319.20,24.03,32.54
2020,333.50,25.18,33.83
2030,327.40,24.96,33.19
2040,344.80,26.63,34.90
2050,351.50,27.35,35.57
2060,340.00,25.91,34.46
2070,320.00,24.53,32.60
2080,341.50,26.91,34.60
2090,359.70,28.28,36.37
2100,351.00,27.35,35.54
2110,271.90,20.65,27.88
2120,314.50,23.31,31.90
2130,309.90,22.59,31.54
2140,342.90,26.62,34.74
2150,352.20,27.56,35.67
2160,354.50,27.56,35.76
2170,325.00,24.24,32.88
2180,325.60,25.25,33.06
2190,329.10,24.96,33.37
2200,338.60,26.41,34.37
2210,370.00,29.22,37.27
2220,350.00,27.35,35.42
2230,344.80,26.62,34.83
2240,333.80,25.68,33.85
2250,348.60,26.84,35.34
2260,375.00,29.94,37.74
2270,360.70,27.79,36.43
2280,315.70,23.82,32.12
2290,301.50,22.37,30.83
2300,349.90,27.35,35.40
2310,267.10,19.43,27.41
2320,338.70,26.40,34.34
2330,329.20,24.97,33.41
2340,327.00,24.96,33.20
2350,385.20,30.88,38.82
2360,331.40,25.98,33.65
2370,358.60,27.78,36.30
2380,355.00,27.56,35.83
2390,335.50,25.69,33.93
2400,324.50,24.75,33.03
2410,336.40,25.69,34.04
2420,285.00,21.30,29.22
2430,306.50,22.58,31.25
2440,364.80,28.50,36.89
2450,315.00,24.32,32.15
2460,365.00,28.50,36.83
2470,351.50,27.35,35.44
2480,318.40,24.53,32.52
2490,370.20,29.22,37.29
2500,370.80,29.22,37.41
2510,316.10,23.51,32.12
2520,340.30,26.41,34.52
2530,356.40,28.07,35.99
2540,309.20,23.09,31.52
2550,323.90,24.24,32.87
2560,317.60,24.02,32.35
2570,334.10,25.18,33.82
2580,368.80,29.22,37.20
2590,350.00,27.34,35.35
2600,375.00,29.94,37.75
2610,346.30,26.63,34.98
2620,343.70,27.13,34.91
2630,356.40,28.07,35.96
2640,351.30,27.35,35.52
2650,323.70,24.74,32.80
2660,306.80,23.09,31.41
2670,341.00,26.41,34.53
2680,320.00,24.54,32.64
2690,355.10,27.56,35.87
2700,319.90,24.53,32.48
2710,330.00,24.97,33.48
2720,330.00,24.97,33.57
2730,338.60,26.40,34.37
2740,325.00,25.25,32.92
2750,303.60,22.37,30.92
