Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,396.10,7.03,37.64
20,393.50,6.03,37.18
30,398.50,6.53,37.88
40,390.00,6.54,36.97
50,396.50,6.53,37.57
60,392.00,6.79,37.16
70,388.00,6.04,36.75
80,397.00,6.28,37.51
90,435.00,7.51,41.32
100,378.00,5.54,35.85
110,410.00,7.03,38.96
120,350.40,5.06,32.82
130,364.40,5.80,34.49
140,272.60,3.60,25.97
150,361.40,5.80,34.47
160,404.60,6.53,38.29
170,353.50,5.31,33.52
180,394.60,6.29,37.77
190,380.50,6.54,36.08
200,378.00,6.04,35.92
210,414.40,6.78,39.61
220,367.50,5.55,34.91
230,394.60,6.79,37.64
240,366.00,5.30,34.75
250,329.40,4.57,31.06
260,353.10,5.06,33.71
270,430.00,7.27,40.78
280,411.50,6.78,38.97
290,418.50,6.77,39.68
300,377.50,5.79,35.44
310,339.00,5.31,31.82
320,408.50,6.53,38.67
330,328.20,4.32,30.84
340,338.10,4.81,32.10
350,363.70,5.55,34.49
360,396.70,6.53,37.50
370,439.80,7.76,41.90
380,394.50,6.54,37.47
390,398.70,6.53,37.81
400,372.00,5.80,35.12
410,318.70,4.07,29.91
420,390.00,6.54,36.90
430,349.60,4.81,32.97
440,384.70,6.54,36.63
450,365.00,5.55,34.45
460,342.80,4.81,32.40
470,335.90,4.81,31.58
480,339.80,4.81,32.04
490,316.80,4.08,29.92
500,385.00,6.04,36.40
510,368.80,5.55,34.88
520,439.70,7.76,41.86
530,356.50,5.06,33.81
540,400.00,6.53,37.91
550,395.40,6.28,37.40
560,374.60,6.05,35.50
570,349.50,5.06,33.02
580,345.90,5.06,32.84
590,389.60,6.54,37.04
600,410.00,6.53,38.86
610,406.40,6.78,38.35
620,332.00,4.82,31.34
630,391.60,6.04,37.23
640,385.30,6.54,36.57
650,389.20,6.29,36.94
660,381.50,5.79,35.93
670,379.00,6.29,36.03
680,359.90,5.05,33.85
690,346.60,5.06,32.83
700,318.40,4.32,29.88
710,343.30,5.31,32.12
720,331.80,4.57,31.41
730,363.20,5.30,34.45
740,378.30,5.54,35.73
750,383.40,6.54,36.50
760,313.60,4.32,29.20
770,364.50,5.55,34.50
780,292.40,3.59,27.06
790,379.50,6.29,35.99
800,350.00,5.06,32.78
810,368.30,6.05,34.93
820,356.80,5.06,33.89
830,353.40,5.56,33.20
840,366.50,5.55,34.80
850,383.50,6.04,36.45
860,398.10,6.78,38.00
870,385.40,6.04,36.70
880,363.50,5.05,34.26
890,394.60,6.53,37.40
900,363.70,5.55,34.41
910,381.30,6.04,36.27
920,371.40,5.55,35.24
930,316.80,4.57,29.64
940,366.30,5.55,34.85
950,352.40,4.81,33.24
960,373.50,5.55,35.24
970,379.90,6.04,36.01
980,416.20,7.27,39.48
990,380.00,6.29,35.98
1000,345.30,5.06,32.48
1010,363.10,5.30,34.63
1020,356.60,5.56,33.84
1030,388.80,6.54,36.93
1040,358.40,5.80,34.01
1050,412.80,7.03,39.33
1060,403.20,6.78,38.35
1070,379.00,6.54,35.72
1080,336.70,4.56,31.79
1090,373.00,6.05,35.54
1100,356.60,5.06,33.84
1110,399.70,7.03,38.07
1120,341.80,4.81,32.40
1130,368.50,5.80,34.84
1140,404.50,7.28,38.61
1150,373.50,5.55,35.44
1160,424.00,7.27,40.42
1170,366.40,5.55,34.78
1180,397.60,6.53,37.84
1190,351.00,5.06,33.27
1200,372.70,6.05,35.35
1210,312.30,3.83,29.32
1220,418.40,7.02,39.76
1230,410.60,7.03,39.00
1240,335.70,4.57,31.82
1250,343.30,4.81,32.38
1260,375.00,6.04,35.49
1270,374.70,6.05,35.51
1280,407.20,6.53,38.78
1290,387.60,6.54,36.98
1300,352.00,5.06,33.31
1310,376.90,6.04,35.77
1320,392.10,6.54,37.44
1330,413.20,7.03,39.36
1340,401.00,6.53,38.27
1350,358.70,5.30,34.09
1360,387.10,6.29,36.89
1370,336.30,5.06,31.69
1380,389.60,6.54,36.92
1390,368.10,5.55,34.89
1400,385.80,6.29,36.52
1410,377.70,6.04,35.88
1420,347.90,5.31,33.00
1430,410.80,7.28,39.03
1440,399.80,6.78,37.92
1450,413.40,7.03,39.41
1460,383.60,6.29,36.56
1470,366.50,5.80,34.91
1480,404.50,6.78,38.47
1490,390.00,6.79,37.08
1500,397.00,6.78,37.61
1510,356.70,5.30,33.76
1520,336.80,4.82,31.91
1530,368.40,6.05,35.02
1540,386.50,6.54,36.53
1550,397.10,7.03,37.73
1560,409.70,6.78,38.85
1570,395.00,6.53,37.46
1580,361.70,5.55,34.32
1590,385.10,6.29,36.43
1600,381.50,5.79,36.32
1610,318.40,4.58,30.21
1620,324.80,4.32,30.46
1630,373.50,5.80,35.50
1640,358.60,5.55,34.00
1650,378.70,5.79,35.92
1660,366.40,6.30,34.65
1670,376.30,6.55,35.82
1680,356.50,5.55,33.79
1690,398.30,6.28,37.73
1700,306.00,3.83,28.62
1710,356.80,5.80,33.68
1720,380.40,6.29,35.99
1730,381.70,6.79,36.31
1740,348.30,5.06,32.88
1750,369.10,5.55,34.93
1760,372.70,6.05,35.19
1770,390.50,6.54,36.93
1780,273.00,3.10,25.77
1790,416.00,7.27,39.49
1800,344.40,5.31,32.63
1810,368.00,5.80,35.02
1820,346.50,4.81,32.83
1830,380.00,5.79,36.16
1840,366.60,5.80,34.83
1850,388.00,6.29,36.86
1860,343.90,4.56,32.61
1870,333.80,5.07,31.34
1880,376.50,6.05,35.86
1890,336.00,5.06,31.55
1900,367.80,5.80,34.99
1910,397.50,7.28,37.75
1920,389.50,6.29,37.01
1930,381.00,6.29,36.17
1940,378.50,6.04,35.99
1950,344.40,5.56,32.72
1960,402.10,7.03,38.50
1970,378.50,6.29,36.02
1980,376.00,5.80,35.75
1990,358.50,5.55,34.03
2000,349.70,5.31,32.98
2010,365.00,5.55,34.65
2020,397.80,6.53,37.94
2030,346.50,4.81,32.86
2040,370.70,6.30,35.21
2050,350.50,5.06,33.01
2060,398.30,6.78,37.91
2070,366.40,5.80,34.91
2080,365.00,5.55,34.77
2090,376.60,5.79,35.70
2100,396.50,6.54,37.89
2110,402.00,6.53,38.22
2120,360.20,5.05,34.30
2130,354.50,6.06,33.73
2140,346.30,5.06,32.01
2150,403.90,7.03,38.52
2160,378.00,6.04,35.92
2170,382.00,6.29,36.49
2180,346.10,5.56,33.02
2190,387.40,6.04,36.71
2200,396.60,6.53,37.79
2210,406.30,6.53,38.67
2220,376.70,5.79,35.75
2230,398.50,6.53,37.90
2240,380.00,6.04,36.29
2250,408.50,6.53,38.71
2260,412.00,7.28,39.44
2270,362.90,5.30,34.48
2280,361.60,5.80,34.46
2290,334.90,4.57,31.66
2300,326.90,4.57,30.95
2310,412.20,7.03,39.47
2320,386.10,6.29,36.84
2330,384.90,6.54,36.51
2340,353.50,5.56,33.50
2350,386.40,6.29,36.89
2360,359.60,5.80,34.12
2370,392.00,6.79,37.27
2380,332.50,4.57,31.18
2390,395.50,7.04,37.64
2400,349.20,5.06,33.03
2410,391.30,6.29,37.22
2420,386.80,5.79,36.76
2430,341.70,4.81,32.39
2440,369.90,5.30,35.23
2450,367.00,6.05,34.97
2460,376.10,5.80,35.82
2470,413.00,7.03,39.34
2480,383.00,6.79,36.61
2490,352.20,5.56,33.48
2500,385.20,6.29,36.79
2510,296.60,3.84,28.11
2520,390.50,7.04,37.21
2530,356.40,5.05,33.76
2540,396.60,6.53,37.82
2550,392.00,6.79,37.08
2560,348.20,5.31,33.09
2570,396.80,6.53,37.85
2580,369.80,5.30,35.20
2590,386.70,6.29,36.86
2600,361.30,5.55,34.32
2610,308.60,4.08,29.10
2620,324.80,4.82,30.62
2630,360.20,5.55,34.27
2640,330.00,5.32,31.32
2650,354.80,5.81,33.76
2660,355.20,5.31,33.85
2670,342.00,5.06,32.37
2680,392.80,6.54,37.46
2690,350.50,5.56,33.30
2700,356.10,5.31,33.89
2710,412.70,7.28,39.57
